environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
50002,13.818234,4.247512,13.818234,4.247512,13.818234,4.247512,13.818234,4.247512,13.818234,4.247512,0.7624905,15.517145156860352,6.24,0.29,45.94,69.09118,0.1258118149911752,2.0155394,0.4537620521815371,11.840456072297213,21.237558,0.02484680626654588,1200
100031,11.27059,1.304551,11.27059,1.304551,11.27059,1.304551,11.27059,1.304551,11.27059,1.304551,0.52485275,21.0169677734375,5.19,0.01,42.54,56.35295,0.13933497581805568,1.5980927,0.09949874371066199,19.17676719366432,6.522755,0.04626724805603662,2553
150089,10.516962,1.3060161,10.516962,1.3060161,10.516962,1.3060161,10.516962,1.3060161,10.516962,1.3060161,0.28707724999999995,24.730823516845703,5.97,0.0,69.42,52.584805,0.21195113002613652,2.368354,0.0,46.993016502454914,6.530081,0.12809827064833074,3685
200115,10.002255,1.8622296,10.002255,1.8622296,10.002255,1.8622296,10.002255,1.8622296,10.002255,1.8622296,0.05,22.606788635253906,5.4,0.01,49.74,50.011284,0.15420277003431693,1.5748017,0.09949874371066199,29.67444018006068,9.311148,0.07841672218255841,4500
250125,12.56098,2.9641602,12.56098,2.9641602,12.56098,2.9641602,12.56098,2.9641602,12.56098,2.9641602,0.05,20.37873649597168,5.63,0.11,45.5,62.8049,0.13604943078826182,1.9832045,0.31288975694324034,8.593602271457529,14.820802,0.019836285167478377,5392
300135,17.463358,3.8567624,17.463358,3.8567624,17.463358,3.8567624,17.463358,3.8567624,17.463358,3.8567624,0.05,21.747329711914062,11.92,0.68,65.86,87.316795,0.2015180895739468,5.3919945,0.466476151587624,29.527282299595402,19.283812,0.07565659118049368,6183
350185,14.746203,3.8534036,14.746203,3.8534036,14.746203,3.8534036,14.746203,3.8534036,14.746203,3.8534036,0.05,20.526531219482422,8.3,0.32,71.11,73.73101,0.21675831960805225,4.6829476,0.46647615158762396,28.46994731291226,19.267017,0.0714599245709673,6940
400215,18.615393,2.9535997,18.615393,2.9535997,18.615393,2.9535997,18.615393,2.9535997,18.615393,2.9535997,0.05,18.05987548828125,14.53,0.8,54.19,93.076965,0.1639870121027343,5.3971376,0.4,29.306891680968146,14.767999,0.07086079220649306,7754
450237,18.832575,3.0433135,18.832575,3.0433135,18.832575,3.0433135,18.832575,3.0433135,18.832575,3.0433135,0.05,16.472517013549805,16.52,0.86,55.97,94.16287,0.17764766159350984,6.3568544,0.34698703145794946,20.58128032946444,15.216567,0.04976571607034225,8598
500300,18.917967,2.654287,18.917967,2.654287,18.917967,2.654287,18.917967,2.654287,18.917967,2.654287,0.05,17.52840232849121,12.67,0.85,62.4,94.58982,0.1899227599403821,4.6282935,0.3570714214271425,18.343391180476964,13.271435,0.04347041813658997,9448
550341,18.357328,3.138803,18.357328,3.138803,18.357328,3.138803,18.357328,3.138803,18.357328,3.138803,0.05,23.216293334960938,14.34,0.77,65.91,91.786644,0.20326860125991517,5.685455,0.4208325082500163,26.816075402638614,15.6940155,0.06527426807498816,10227
600398,19.321396,2.3131166,19.321396,2.3131166,19.321396,2.3131166,19.321396,2.3131166,19.321396,2.3131166,0.05,17.81851577758789,15.05,0.91,57.12,96.60698,0.18400883287249598,4.1385384,0.28618176042508364,17.29698239578222,11.565583,0.04448563280487036,11031
650434,19.060122,2.7285593,19.060122,2.7285593,19.060122,2.7285593,19.060122,2.7285593,19.060122,2.7285593,0.05,19.237958908081055,14.12,0.88,59.48,95.30061,0.1933258190471679,4.4210405,0.3249615361854384,21.44969929859158,13.6427965,0.054235799802493226,11869
700456,19.529018,1.849428,19.529018,1.849428,19.529018,1.849428,19.529018,1.849428,19.529018,1.849428,0.05,17.254985809326172,14.75,0.93,59.52,97.645096,0.19069427332957276,4.3620524,0.2551470164434615,20.01473457230947,9.24714,0.049030459615930735,12689
750478,19.783258,1.2539626,19.783258,1.2539626,19.783258,1.2539626,19.783258,1.2539626,19.783258,1.2539626,0.05,15.813679695129395,15.81,0.97,57.35,98.9163,0.1871116979198996,3.4574413,0.17058722109231983,17.123886825134065,6.2698126,0.04232127148540837,13476
800526,19.489609,1.7727884,19.489609,1.7727884,19.489609,1.7727884,19.489609,1.7727884,19.489609,1.7727884,0.05,19.781755447387695,15.07,0.92,59.84,97.44804,0.18236596079776063,4.652429,0.2712931993250107,17.152679091034145,8.863942,0.03475662303870938,14287
850535,19.499216,2.0729048,19.499216,2.0729048,19.499216,2.0729048,19.499216,2.0729048,19.499216,2.0729048,0.05,14.922077178955078,16.77,0.94,56.61,97.49607,0.17899617207003757,4.467337,0.23748684174075835,16.460191371913027,10.364524,0.03851464852296654,15115
900631,19.062769,2.437515,19.062769,2.437515,19.062769,2.437515,19.062769,2.437515,19.062769,2.437515,0.05,15.607197761535645,14.87,0.86,64.01,95.31385,0.19993527666141744,5.5455475,0.34698703145794946,23.075309315369967,12.187573,0.055913036535897014,15946
950674,19.758848,1.2720146,19.758848,1.2720146,19.758848,1.2720146,19.758848,1.2720146,19.758848,1.2720146,0.05,10.672776222229004,16.58,0.96,56.71,98.794235,0.187174499121611,3.8682814,0.19595917942265428,15.543677171120095,6.360073,0.04215255083070488,16738
1000787,15.246962,4.590102,15.246962,4.590102,15.246962,4.590102,15.246962,4.590102,15.246962,4.590102,0.05,9.011707305908203,13.54,0.47,103.61,76.23481,0.2922952649689978,4.6334004,0.49909918853871116,47.228782537770336,22.950512,0.1166799658305575,17459
1050791,19.694706,1.5503447,19.694706,1.5503447,19.694706,1.5503447,19.694706,1.5503447,19.694706,1.5503447,0.05,10.401124000549316,15.19,0.96,64.43,98.47353,0.20143745207809843,3.17709,0.19595917942265426,17.79901963592377,7.751724,0.04190346090406087,18188
1100818,19.32191,2.248753,19.32191,2.248753,19.32191,2.248753,19.32191,2.248753,19.32191,2.248753,0.05,9.604411125183105,14.25,0.91,67.91,96.60956,0.2193148504209239,3.9984372,0.2861817604250837,23.056059940935267,11.243765,0.06540027937109967,18925
1150874,19.422941,1.9245443,19.422941,1.9245443,19.422941,1.9245443,19.422941,1.9245443,19.422941,1.9245443,0.05,10.48397445678711,17.09,0.91,59.34,97.11471,0.1953039045468904,5.471919,0.2861817604250837,21.807897651997546,9.622722,0.05597234009344858,19708
1200945,19.0337,2.4954076,19.0337,2.4954076,19.0337,2.4954076,19.0337,2.4954076,19.0337,2.4954076,0.05,9.588095664978027,14.91,0.85,72.1,95.1685,0.2263830000301823,4.8499384,0.3570714214271425,27.872387769977657,12.477038,0.07426481158496602,20530
1250977,19.736275,1.3586843,19.736275,1.3586843,19.736275,1.3586843,19.736275,1.3586843,19.736275,1.3586843,0.05,10.249519348144531,18.3,0.96,55.85,98.681366,0.19039874173002316,4.3,0.19595917942265423,14.536419779299166,6.793421,0.03897338373167461,21381
1301012,19.837255,1.3048967,19.837255,1.3048967,19.837255,1.3048967,19.837255,1.3048967,19.837255,1.3048967,0.05,8.047929763793945,18.69,0.98,58.16,99.18627,0.19061392206815073,3.1927886,0.13999999999999999,17.025110866012003,6.524483,0.043703567952907175,22249
1351048,19.355785,2.4037623,19.355785,2.4037623,19.355785,2.4037623,19.355785,2.4037623,19.355785,2.4037623,0.05,7.55648136138916,16.56,0.92,61.11,96.77892,0.19410187082074118,4.389351,0.2712931993250107,25.95992873641991,12.018809,0.07390431625779477,23007
1401076,17.452156,4.1900268,17.452156,4.1900268,17.452156,4.1900268,17.452156,4.1900268,17.452156,4.1900268,0.05,8.069734573364258,13.42,0.67,83.15,87.26078,0.25141899172973353,4.8993473,0.47021271782034985,44.155718768920515,20.950132,0.11639121023965902,23843
1451133,14.704412,4.3688664,14.704412,4.3688664,14.704412,4.3688664,14.704412,4.3688664,14.704412,4.3688664,0.05,9.127257347106934,12.69,0.37,111.82,73.52207,0.3281017436855473,4.3650775,0.4828043081829324,45.269278766068275,21.844332,0.12568813248957914,24594
1501171,19.599266,1.9088386,19.599266,1.9088386,19.599266,1.9088386,19.599266,1.9088386,19.599266,1.9088386,0.05,7.098740100860596,18.42,0.95,57.03,97.996315,0.18226377882238012,5.331379,0.21794494717703372,14.707450492862453,9.544192,0.036586836012425746,25384
1551184,19.519732,1.9319971,19.519732,1.9319971,19.519732,1.9319971,19.519732,1.9319971,19.519732,1.9319971,0.05,8.565643310546875,17.49,0.93,61.34,97.598656,0.19200523577805143,4.702116,0.2551470164434615,22.442023081709902,9.659986,0.05242253042273894,26213
1601218,19.389044,2.1513178,19.389044,2.1513178,19.389044,2.1513178,19.389044,2.1513178,19.389044,2.1513178,0.05,7.460165977478027,15.83,0.9,52.09,96.94522,0.15936990374291782,4.7750497,0.3,15.27225916490419,10.75659,0.03867369878551502,27061
1651239,19.34385,2.2320333,19.34385,2.2320333,19.34385,2.2320333,19.34385,2.2320333,19.34385,2.2320333,0.05,6.956449508666992,18.28,0.91,58.37,96.719246,0.19410024291661102,4.804332,0.2861817604250837,24.08138492695136,11.160166,0.06494506713472713,27901
1701355,19.501863,2.0539112,19.501863,2.0539112,19.501863,2.0539112,19.501863,2.0539112,19.501863,2.0539112,0.05,10.993557929992676,16.74,0.93,57.48,97.509315,0.194071058347472,4.861317,0.2551470164434615,18.26826756975056,10.269556,0.05202340502562243,28700
1751385,19.513016,1.8838372,19.513016,1.8838372,19.513016,1.8838372,19.513016,1.8838372,19.513016,1.8838372,0.05,7.684360504150391,15.71,0.92,58.36,97.56507,0.19433409368968568,4.813097,0.2712931993250107,20.138281952540044,9.419187,0.0584806961110255,29558
1801417,19.735098,1.3332684,19.735098,1.3332684,19.735098,1.3332684,19.735098,1.3332684,19.735098,1.3332684,0.05,8.688247680664062,16.68,0.95,52.96,98.67549,0.1766128137515625,4.855677,0.21794494717703375,6.902057664204205,6.6663423,0.0175594409876639,30413
1851452,20.003235,1.647292,20.003235,1.647292,20.003235,1.647292,20.003235,1.647292,20.003235,1.647292,0.05,8.082404136657715,18.11,0.97,58.47,100.01616,0.20115923456905876,4.0519004,0.17058722109231983,16.915351016162806,8.236461,0.05199699397912227,31224
1901546,19.475319,2.4795573,19.475319,2.4795573,19.475319,2.4795573,19.475319,2.4795573,19.475319,2.4795573,0.05,9.019613265991211,15.88,0.88,65.63,97.376595,0.21804873458168003,4.9865417,0.32496153618543844,23.986936027763115,12.397788,0.06590762124013963,32048
1951548,19.862106,1.8057929,19.862106,1.8057929,19.862106,1.8057929,19.862106,1.8057929,19.862106,1.8057929,0.05,7.555253982543945,18.27,0.94,56.76,99.31054,0.19741722212638707,4.5516043,0.23748684174075832,16.846435824826568,9.028965,0.03982776858654904,32864
