environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
100066,9.863529,0.36672348,9.863529,0.36672348,0.76234325,14.60826587677002,2.0,0.0,32.05,19.727058,0.05658880615839735,0.0,0.0,0.21794494717703367,0.73344696,0.0022861961261862766,2310
200186,9.392941,0.4204858,9.392941,0.4204858,0.52455825,9.854191780090332,2.0,0.0,32.05,18.785883,0.06147293380112387,0.0,0.0,0.21794494717703367,0.8409716,0.0026351215842756143,5015
300271,0.0,0.0,0.0,0.0,0.286856375,27.90594482421875,8.98,0.0,150.0,0.0,0.36493152081617153,0.37363082,0.0,0.0,0.0,0.008148292847037952,6375
400414,0.0,0.0,0.0,0.0,0.05,29.162353515625,9.53,0.0,150.0,0.0,0.35733728002000137,0.5376802,0.0,0.0,0.0,0.005887770540285005,7051
500498,0.0,0.0,0.0,0.0,0.05,42.31401443481445,8.9,0.0,150.0,0.0,0.3532835116580827,0.62449974,0.0,0.0,0.0,0.006047695282423483,7719
600548,0.0,0.0,0.0,0.0,0.05,31.977331161499023,8.86,0.0,150.0,0.0,0.35105280121031684,0.70738953,0.0,0.0,0.0,0.006503267569707808,8386
700683,0.1254902,0.8829017,0.1254902,0.8829017,0.05,44.8776969909668,9.02,0.0,149.47,0.2509804,0.3480181041837204,1.0581114,0.0,5.273433416665088,1.7658035,0.018436739441307196,9055
800826,0.0,0.0,0.0,0.0,0.05,61.35896682739258,9.55,0.0,150.0,0.0,0.3394995496305637,0.5722762,0.0,0.0,0.0,0.009859650909459798,9723
900869,0.0,0.0,0.0,0.0,0.05,56.02800750732422,9.46,0.0,150.0,0.0,0.33568527043913493,0.7927168,0.0,0.0,0.0,0.00927766776267485,10390
1000976,0.0,0.0,0.0,0.0,0.05,55.613834381103516,9.15,0.0,150.0,0.0,0.33623340584046674,0.43301266,0.0,0.0,0.0,0.007678991820867181,11058
1101079,1.0164707,1.55167,1.0164707,1.55167,0.05,65.85052490234375,10.55,0.0,150.0,2.0329413,0.3453614792396547,1.0523782,0.0,0.0,3.10334,0.00691762370014426,11727
1201131,3.6392155,2.7407475,3.6392155,2.7407475,0.05,16.641759872436523,9.65,0.0,143.62,7.278431,0.3295856608217582,3.9354162,0.0,13.668781950122693,5.481495,0.038011816786051644,12401
1301215,4.0407844,3.3229084,4.0407844,3.3229084,0.05,17.990337371826172,8.31,0.0,143.94,8.081569,0.32948155081190633,4.2981277,0.0,12.39017352582279,6.645817,0.033855900827271385,13192
1401268,4.919216,0.7138616,4.919216,0.7138616,0.05,9.493884086608887,10.43,0.0,150.0,9.838432,0.3338960675266571,2.0359519,0.0,0.0,1.4277232,0.006678455908283146,13892
1501300,5.201569,1.268305,5.201569,1.268305,0.05,11.155739784240723,7.37,0.0,149.54,10.403138,0.32894419877207837,1.5274488,0.0,4.5769422106904525,2.53661,0.012676214224528385,14566
1601322,9.587452,0.8560971,9.587452,0.8560971,0.05,8.430767059326172,2.22,0.0,39.11,19.174904,0.07344233168871142,0.90088844,0.0,28.016743208303144,1.7121942,0.05584642261502259,15387
1701356,8.382746,1.4044815,8.382746,1.4044815,0.05,8.00192928314209,3.77,0.0,81.15,16.765491,0.16809682287916075,2.7271044,0.0,54.798608558977115,2.808963,0.11996622644736749,17037
1801388,10.729412,0.9200237,10.729412,0.9200237,0.05,1.7567075490951538,2.0,0.0,33.01,21.458824,0.06350372121843975,0.0,0.0,0.1729161646579058,1.8400474,0.0030956401503267703,19767
1901392,10.352941,0.5576906,10.352941,0.5576906,0.05,4.097232341766357,2.0,0.0,34.0,20.705881,0.06595991538779344,0.0,0.0,0.2449489742783178,1.1153812,0.003022951422641677,22767
2001393,10.748235,0.73524296,10.748235,0.73524296,0.05,8.260025024414062,2.08,0.0,38.0,21.49647,0.07357867912156507,0.56,0.0,19.87863174365882,1.4704859,0.04097413562801035,25296
2101519,6.318431,2.433758,6.318431,2.433758,0.05,1.308153748512268,5.7,0.0,121.94,12.636862,0.26339066922024357,3.6945906,0.0,42.185973972399886,4.867516,0.09587040641519795,26959
2201524,11.156076,0.5721857,11.156076,0.5721857,0.05,1.5583564043045044,2.04,0.0,36.81,22.312153,0.07227575870871078,0.39799502,0.0,16.395545126649495,1.1443714,0.03688136840714154,28468
2301527,11.212549,0.37284526,11.212549,0.37284526,0.05,0.7670605182647705,2.0,0.0,33.01,22.425098,0.06540031751967035,0.0,0.0,0.22338307903688676,0.7456905,0.0028478001558436923,31187
2401546,14.648526,4.2922196,14.648526,4.2922196,0.05,1.0104918479919434,3.48,0.37,32.35,29.297052,0.06446069418103434,1.9312172,0.4828043081829324,0.9937303457175894,8.584439,0.0034482967991875356,34192
2501578,14.665896,4.4938917,14.665896,4.4938917,0.05,1.1444859504699707,3.56,0.39,32.61,29.331793,0.06436821543611586,1.9509997,0.487749935930288,0.6307931515164064,8.987783,0.003290772580244773,37299
2601578,12.995459,3.7787304,12.995459,3.7787304,0.05,1.9605265855789185,2.8,0.2,33.35,25.990917,0.06838956045045051,1.6,0.4,6.938839960685076,7.557461,0.015567707228632505,40268
2701630,14.650159,4.9259152,14.650159,4.9259152,0.05,1.4786001443862915,3.72,0.43,36.18,29.300318,0.07273741128854454,1.980303,0.4950757517794625,16.067594717318457,9.8518305,0.03271358306346914,43041
2801644,16.669472,4.594905,16.669472,4.594905,0.05,2.0903162956237793,4.46,0.62,33.87,33.338943,0.06669332958001178,1.9360785,0.4853864439804639,13.841715934088517,9.18981,0.028757838566816674,46074
2901649,16.686058,4.528239,16.686058,4.528239,0.05,1.466784119606018,4.48,0.62,31.89,33.372116,0.06408665924507659,1.9415457,0.48538644398046393,1.0089103032480142,9.056478,0.0035463180415924245,48999
3001658,17.391197,4.2195854,17.391197,4.2195854,0.05,1.3059805631637573,4.76,0.69,31.46,34.782394,0.061574096211697904,1.849973,0.46249324319388707,1.228169369427523,8.439171,0.004017674912960558,52094
3101661,17.328556,4.2240314,17.328556,4.2240314,0.05,1.3456896543502808,4.7,0.68,31.82,34.657112,0.06210319582547527,1.8627937,0.466476151587624,0.9631199302267603,8.448063,0.002960415698353564,55223
3201681,17.56354,4.1806064,17.56354,4.1806064,0.05,0.7679651379585266,4.84,0.71,31.76,35.12708,0.06185920254793018,1.8150485,0.45376205218153715,1.1056219968868202,8.361213,0.003979930366094768,58363
3301686,17.894585,3.9247718,17.894585,3.9247718,0.05,0.8607282638549805,4.96,0.74,31.67,35.78917,0.06113355126231909,1.7545371,0.4386342439892262,0.9061456836513653,7.8495436,0.0031068537455235887,61494
3401688,17.394354,4.2504992,17.394354,4.2504992,0.05,0.7887260913848877,4.76,0.69,31.81,34.788708,0.06268278292787727,1.849973,0.46249324319388707,0.9454628496138808,8.5009985,0.0031115585422583033,64580
3501714,18.463543,3.7860677,18.463543,3.7860677,0.05,0.7709984183311462,5.28,0.82,31.81,36.927086,0.06143154287710786,1.5367498,0.38418745424597095,2.496777923644793,7.5721354,0.0059666074021451,67647
3601729,18.21002,3.793178,18.21002,3.793178,0.05,0.7353500127792358,5.12,0.78,31.86,36.42004,0.060229731749277565,1.6569853,0.41424630354415964,0.9488940931421166,7.586356,0.0029194393721323603,70715
3701731,17.887959,3.947582,17.887959,3.947582,0.05,0.8113600611686707,4.96,0.74,31.72,35.775917,0.060336982551380064,1.7545371,0.4386342439892262,0.9495261976375375,7.895164,0.0030039406512263295,73851
3801749,18.456268,3.5249138,18.456268,3.5249138,0.05,0.5264670252799988,5.2,0.8,31.6,36.912537,0.060365192052559,1.5999999,0.4,0.8831760866327847,7.0498276,0.0036245196203179043,76995
3901781,18.091877,3.7817776,18.091877,3.7817776,0.05,0.6534315347671509,5.04,0.76,31.46,36.183754,0.05946087579068262,1.7083327,0.4270831300812525,1.2117755567760886,7.5635552,0.0065368575986009154,80136
